ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
136,Так,10,2026-07-25 12:18:46,2026-07-25 12:23:29,Так,Так,Так,Чоловіча,20,Волинська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Ні,Так,Ні,Ні,Так,,Так,Ні,Так,Так,,"Відстояти справедливе, на мою думку, рішення та позицію",Ні,Скоріше так,Скоріше так,Скоріше ні,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,4,"Федоров, Буданов, Білецький",7,Не погоджуюсь,0 - Зовсім неприйнятно,Так
137,Так,10,2026-07-25 12:33:52,2026-07-25 12:36:13,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,,Так,Безумовно так,Точно ні,Скоріше так,2,6,3,7 - Повністю довіряю,3,Важко сказати,,5,Не погоджуюсь,0 - Зовсім неприйнятно,Так
138,Так,10,2026-07-25 22:11:50,2026-07-25 22:19:42,Так,Так,Так,Жіноча,19,Волинська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Змінити хибне рішення нашої влади щодо Федорова і усунути з посади Сирського замінивши його надійною людиною, якій довіряють військові.",Так,Безумовно так,Скоріше ні,Безумовно так,4,6,2,6,4,Важко сказати,Драпатому,1,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
139,Так,10,2026-07-26 06:55:43,2026-07-26 07:03:16,Так,Так,Так,Чоловіча,23,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Побачиві рішення влади,Так,Так,Ні,Так,,"Повернути Федорова на посаду, аби він зробив хороші оборонні закупівлі й покращив становище війська й країни",Так,Безумовно так,Точно ні,Безумовно так,3,7 - Повністю довіряю,3,6,1 - Зовсім не довіряю,5,"Федоров, Клічук, ДемСокира",9,Зовсім не погоджуюсь,2,Ні
140,Так,10,2026-07-26 13:07:39,2026-07-26 13:21:57,Так,Так,Так,Жіноча,50,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Одеса,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Я проти пересування по кріслам тих самих корупціонерів .  Президент обіцяв перезавантаження влади , і сам його скасовує. Одні зашкварні ходять по колу. Я проти СБУ в міністерствах. Ми не росія. 
Я як виборець потребую пояснень подібних дій від президента. Не виправдань.",Так,Безумовно так,Точно ні,Безумовно так,Важко сказати,7 - Повністю довіряю,2,7 - Повністю довіряю,1 - Зовсім не довіряю,1 - Зовсім не довіряю,"Іллєнко, Стерненко, Федоров, Сибіга",3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
141,Так,10,2026-07-26 14:18:10,2026-07-26 14:23:30,Так,Так,Так,Жіноча,52,Харківська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Харк ів,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Хочу перебудови армії та перемоги України!,Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,3,4,"Федоров, Драпатий, Терехов",5,Зовсім не погоджуюсь,10 - Цілком прийнятно,Ні
142,Так,10,2026-07-26 15:41:09,2026-07-26 15:44:46,Так,Так,Так,Жіноча,18,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Так,Так,Ні,Ні,Ні,Ні,,Ні,Ні,Так,Так,,Створення міцної країни,Так,Скоріше так,Скоріше ні,Важко відповісти,4,6,1 - Зовсім не довіряю,4,"Не знаю, хто це","Не знаю, хто це","Федоров, Буданов",Важко сказати,"Наскільки погоджуюсь, настільки і не погоджуюсь",0 - Зовсім неприйнятно,Ні
143,Так,10,2026-07-27 09:40:44,2026-07-27 09:47:18,Так,Так,Так,Жіноча,33,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Черкаси, Київ, ще вийду у Львові 1.08.26",Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Повернути людину з досвідом, знаннями та ефективним підходом (Федорова) на посаду Міністра, або отримати роз'яснення від президента чому ми маємо його не повертати.",Так,Безумовно так,Скоріше ні,Скоріше так,2,6,2,6,2,4,Маємо велику з цим проблему.,Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
144,Так,10,2026-07-27 09:40:58,2026-07-27 09:49:18,Так,Так,Так,Жіноча,26,Черкаська,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Черкаси,Ні,Ні,Ні,Ні,Ні,Ні,"Хотіла висловити невдоволення і була впевнена, що буде хтось збиратися",Так,Так,Ні,Так,,"Дотиснути зміни.
Спершу ми виходили за відставку Сирського та повернення Федорова міністром оборони. Зараз у мене немає надії, що протести призведуть до призначення Федорова найближчим часом, але я досі вважаю, що протести підштовхують президента до висування його кандидатури на цю посаду в серпні.",Так,Скоріше так,Точно ні,Скоріше так,4,7 - Повністю довіряю,2,7 - Повністю довіряю,Важко сказати,4,Немає кого додати до списку.,6,Зовсім не погоджуюсь,1,Ні
145,Так,10,2026-07-27 09:41:40,2026-07-27 09:46:05,Так,Так,Так,Жіноча,25,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Черкаси,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Хочу позитивних змін в країні, які посприяють завершенню війни",Так,Безумовно так,Скоріше ні,Скоріше так,3,7 - Повністю довіряю,1 - Зовсім не довіряю,5,3,3,"На привеликий жаль таких немає, оскільки що не морда то куропцвйеа схема, на цьому фоні Федоров виглядає як надія",8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
146,Так,10,2026-07-27 09:46:33,2026-07-27 09:51:40,Так,Так,Так,Жіноча,33,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Черкаси,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Показати владі що була зроблена помилка в кадрових рішеннях. Основна ціль - повернути Федорова на посаду Міністра Оборони.,Так,Безумовно так,Скоріше ні,Безумовно так,3,6,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,5,важко відповісти,Важко сказати,Зовсім не погоджуюсь,10 - Цілком прийнятно,Так
147,Так,10,2026-07-27 09:48:03,2026-07-27 09:53:02,Так,Так,Так,Жіноча,29,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Київ, Черкаси",Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Моя участь у мітингу - реакція на рішення влади, з якими я не згодна. Я хотіла, щоб голос народу почули і дослухались",Ні,Безумовно так,Скоріше ні,Скоріше ні,2,5,2,5,4,5,"Повноцінно нікому. Є віра в окремі постаті як Федоров, Драпатий",8,Не погоджуюсь,2,Так
148,Так,10,2026-07-27 09:48:08,2026-07-27 10:15:54,Так,Так,Так,Жіноча,18,Черкаська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,"Черкаси, Львів",Так,Так,Ні,Ні,Ні,Ні,,Ні,Так,Ні,Так,,"Мета як і у всих інших досягти повернення Федорова, також показати, що українцям не байдуже і нас багато таких. Війна дронами краще ніж людьми.",Так,Безумовно так,Важко відповісти,Важко відповісти,6,6,1 - Зовсім не довіряю,6,"Не знаю, хто це",5,Повністю довіряти нікому не можна,0 - Ліві,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
149,Так,10,2026-07-27 09:48:20,2026-07-27 09:52:09,Так,Так,Так,Жіноча,28,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,Служба б дфтг,Черкаси,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Мета - мітинги з більшою кількістю людей привертають більше уваги та видаються більш серйозними. Моя участь - вклад в те, щоб мене і народ почули та поставились до цього відповідально",Ні,Безумовно так,Скоріше ні,Скоріше так,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,2,5,"Федоров, Грищук",5,Не погоджуюсь,0 - Зовсім неприйнятно,Так
150,Так,10,2026-07-27 09:48:52,2026-07-27 09:56:04,Так,Так,Так,Жіноча,26,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Київ, Черкаси",Ні,Ні,Ні,Ні,Ні,Ні,"Відразу, як стало відомо, що Федорова зняли, пішла на протест у перший день, і пропустила за весь час може тричі",Так,Ні,Ні,Ні,,"Спершу це про повернення Федорова, далі було і про зняття Сирського (була щаслива, коли поставили драпатого), але зараз – це загально про ПОЧУТИ СУСПІЛЬСТВО. Чому президент думає, що може звільняти уряд, бо йому захотілось? Він схоже перестав відчувати, що зараз не 2022,23,24 рік, коли ми ще якось заплющували очі, бо все таки війна, він єдиний легітимний. Але так не бачити змін після літа 2025, після кризи з НАБУ і САП, ну це піздєц
Тому мета: повернути Федорова і не скочуватися і диктатуру",Так,Безумовно так,Скоріше ні,Важко відповісти,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,6,"Федоров, Драпатий, Хмара (але він має очолити СБУ), Буданову +-",5,"Наскільки погоджуюсь, настільки і не погоджуюсь",Важко сказати,Ні
151,Так,10,2026-07-27 09:49:48,2026-07-27 10:03:19,Так,Так,Так,Чоловіча,33,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Черкаси, Київ",Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Соціальний тиск після сумнівних рішень прийнятих керівним апаратом держави необхідний незалежно від результатів цього тиску. Без нього країна неминуче робить кроки в напрямку авторитаризму та/або тоталітаризму. Мета участі: Підвищення ефективності управління та менеджменту в МО та підвищення боєздатності війська шляхом вимог до влади призначити на керівні посади людей, котрі довели свою ефективність попередньою роботою.",Так,Безумовно так,Скоріше ні,Скоріше так,5,5,2,5,2,4,"Довіра - дивний критерій оцінки. Я не довіряю політикам. Річ не в довірі, а в результатах, які вони демонструють.",Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
152,Так,10,2026-07-27 09:50:12,2026-07-27 10:15:44,Так,Так,Так,Жіноча,18,Черкаська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Черкаси,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Повернення Михайла Фдеорова на посаду МО; призначення ВЕТЕРАНА міністром ветеранів замість Віталія Кіма. Для мене важливо бути голосом військових, які перебувають на фронті і не можуть висловити свою позицію",Так,Безумовно так,Важко відповісти,Безумовно так,3,5,2,7 - Повністю довіряю,Важко сказати,6,"Інна Совсун, Кирило Буданов",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
